SampleID,Factor,Condition,Replicate,bamReads,Peaks,PeakCaller
Ctrl1,Ctrl,Ctrl,1,"../../Data/Processed/2018-09-17/output_Ctrl/align/rep1/Rashimi_ATAC1_S25_L007_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/Ctrl_Rep1.sorted.bedGraph",raw
Ctrl2,Ctrl,Ctrl,2,"../../Data/Processed/2018-09-17/output_Ctrl/align/rep2/Rashim_ATAC2_S26_L007_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/Ctrl_Rep2.sorted.bedGraph",raw
Ctrl3,Ctrl,Ctrl,3,"../../Data/Processed/2018-09-17/output_Ctrl/align/rep3/Rashim_ATAC3_S27_L007_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/Ctrl_Rep3.sorted.bedGraph",raw
MB61,MB6,MB6,1,"../../Data/Processed/2018-09-17/output_MB6/align/rep1/Rashim_ATAC4_S28_L007_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/MB6_Rep1.sorted.bedGraph",raw
MB62,MB6,MB6,2,"../../Data/Processed/2018-09-17/output_MB6/align/rep2/5_S21_L006_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/MB6_Rep2.sorted.bedGraph",raw
MB63,MB6,MB6,3,"../../Data/Processed/2018-09-17/output_MB6/align/rep3/6_S22_L006_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/MB6_Rep3.sorted.bedGraph",raw
MB6Pen1,MB6Pen,MB6Pen,1,"../../Data/Processed/2018-09-17/output_MB6Pen/align/rep1/7_S23_L006_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/MB6Pen_Rep1.sorted.bedGraph",raw
MB6Pen2,MB6Pen,MB6Pen,2,"../../Data/Processed/2018-09-17/output_MB6Pen/align/rep2/8_S24_L006_R1_001.nodup.bam","../2018-11-27_peak-filtering/Filter/logq_4.0/MB6Pen_Rep2.sorted.bedGraph",raw
